backend,mesh,density,arm,state,repeat,request,ok,seconds,engagement,count_matched,quads,quad_ratio,singularities,singularity_ratio,angle_dev_mean,angle_dev_median,angle_dev_p95,flow_loop_mean_len,flow_turning_mean,hausdorff_p99,chamfer_mean,feature_recall,edge_length_cv,error
geo,spot,6000,pure,guided,0,6000,True,0.6,flag-unread,True,4766,1.0,84,0.01761744966442953,11.397659751031542,8.150167349399318,33.7829987266694,232.4878048780488,15.826741879054111,0.003849047664579363,0.001585127195262952,0.813953488372093,0.34159312826463567,
geo,fandisk,500,mixed,off,0,500,True,0.34,flag-unread,True,471,0.9631901840490797,65,0.13347022587268995,14.521017531724018,8.9884484317137,60.64973543606683,27.705882352941178,29.251667457682366,0.013921649255922904,0.0025990258055240416,0.6612595419847328,0.2671680951151061,
geo,fandisk,500,mixed,guided,0,500,True,0.35,refused,True,471,0.9631901840490797,65,0.13347022587268995,14.521017531724018,8.9884484317137,60.64973543606683,27.705882352941178,29.251667457682366,0.013921649255922904,0.0025990258055240416,0.6612595419847328,0.2671680951151061,
geo,fandisk,500,pure,off,0,500,True,0.36,flag-unread,True,428,1.0,37,0.08604651162790698,18.218022804541924,10.16148154710136,79.64104546740063,142.66666666666666,28.82868073437848,0.049461615973807396,0.004422526645262281,0.5252862595419847,0.3207139840916651,
geo,fandisk,500,pure,guided,0,500,True,0.34,refused,True,428,1.0,37,0.08604651162790698,18.218022804541924,10.16148154710136,79.64104546740063,142.66666666666666,28.82868073437848,0.049461615973807396,0.004422526645262281,0.5252862595419847,0.3207139840916651,
geo,fandisk,1000,mixed,off,0,1000,True,0.4,flag-unread,True,856,0.9861751152073732,58,0.0667433831990794,9.524419127794046,5.990330540911387,29.803951772944092,61.142857142857146,20.826539482579676,0.00867050610076693,0.002134952617479908,0.6774809160305344,0.18612842990787706,
geo,fandisk,1000,mixed,guided,0,1000,True,0.4,refused,True,856,0.9861751152073732,58,0.0667433831990794,9.524419127794046,5.990330540911387,29.803951772944092,61.142857142857146,20.826539482579676,0.00867050610076693,0.002134952617479908,0.6774809160305344,0.18612842990787706,
geo,fandisk,1000,pure,off,0,1000,True,0.37,flag-unread,True,956,1.0,40,0.04175365344467641,11.35670411939014,6.799804391850472,35.89373048307687,136.57142857142858,19.60338260011936,0.011324875875208659,0.0021975595176633323,0.6583969465648855,0.22384761015420418,
geo,fandisk,1000,pure,guided,0,1000,True,0.38,refused,True,956,1.0,40,0.04175365344467641,11.35670411939014,6.799804391850472,35.89373048307687,136.57142857142858,19.60338260011936,0.011324875875208659,0.0021975595176633323,0.6583969465648855,0.22384761015420418,
geo,fandisk,1500,mixed,off,0,1500,True,0.54,flag-unread,True,1294,0.9938556067588326,36,0.027607361963190184,7.040723799995159,4.728979987160692,19.51618812643732,99.53846153846153,14.775521635781665,0.006326284498963677,0.0019031661593720307,0.7538167938931297,0.1421505495099307,
